codec,target_kbps,got_kbps,keyframes,has_b,reorder,p50_24,p95_24,ssim
libx264,1000,948,1,0,0,69.27,69.67,0.370242
h264_qsv,1000,58,-,-,-,ОТКАЗ,ОТКАЗ,ОТКАЗ
hevc_qsv,1000,1008,1,0,0,43.30,57.46,0.705992
libvpx-vp9,1000,1821,-,-,-,ОТКАЗ,ОТКАЗ,ОТКАЗ
ours-vp9,1000,1308,1,0,0,59.88,60.00,0.566969
libx264,2000,2008,1,0,0,67.08,67.75,0.422571
h264_qsv,2000,2032,1,0,0,54.95,62.98,0.612742
hevc_qsv,2000,1990,1,0,0,18.64,51.47,0.812092
libvpx-vp9,2000,3115,-,-,-,ОТКАЗ,ОТКАЗ,ОТКАЗ
ours-vp9,2000,2050,1,0,0,43.97,44.45,0.702265
libx264,4000,4071,1,0,0,52.37,52.70,0.644195
h264_qsv,4000,4064,1,0,0,32.01,47.56,0.772328
hevc_qsv,4000,4003,1,0,0,0.14,37.92,0.897251
libvpx-vp9,4000,5439,-,-,-,ОТКАЗ,ОТКАЗ,ОТКАЗ
ours-vp9,4000,4100,1,0,0,25.39,26.63,0.771157
